1>1>2010-06-10 18:08:53>1388.39>114.54>1505.93>COURIER>2010-06-10 18:08:53>1>1>PENDING
2>3>2010-06-17 18:22:02>7241.66>597.44>7840.10>UPS>2010-06-17 18:22:02>3>3>PROCESSING
3>4>2010-05-18 07:36:39>7687.67>634.23>8326.90>COURIER>2010-05-18 07:36:39>4>4>DENIED
4>5>2010-06-19 18:25:24>5788.80>477.58>6269.38>SHIP>2010-06-19 18:25:24>5>5>SHIPPED
5>6>2010-06-30 07:03:48>8362.36>689.89>9057.25>COURIER>2010-06-30 07:03:48>6>6>PENDING
6>7>2010-06-02 11:58:18>7583.51>625.64>8214.15>MAIL>2010-06-02 11:58:18>7>7>PROCESSING
7>8>2010-05-26 01:05:19>9576.54>790.06>10367.60>AIR>2010-05-26 01:05:19>8>8>SHIPPED
8>9>2010-07-01 14:11:12>3285.40>271.05>3559.45>MAIL>2010-07-01 14:11:12>9>9>PENDING
9>10>2010-06-09 08:59:35>9814.22>809.67>10626.89>AIR>2010-06-09 08:59:35>10>10>DENIED
10>11>2010-05-12 13:18:10>4917.91>405.73>5324.64>UPS>2010-05-12 13:18:10>11>11>DENIED
11>12>2010-05-18 12:46:52>1733.43>143.01>1878.44>FEDEX>2010-05-18 12:46:52>12>12>PROCESSING
12>13>2010-06-24 01:05:38>3864.41>318.81>4187.22>MAIL>2010-06-24 01:05:38>13>13>SHIPPED
13>14>2010-06-25 09:23:53>5819.61>480.12>6303.73>SHIP>2010-06-25 09:23:53>14>14>PENDING
14>15>2010-06-15 08:35:41>9446.88>779.37>10230.25>AIR>2010-06-15 08:35:41>15>15>SHIPPED
15>16>2010-05-16 05:53:29>9749.35>804.32>10558.67>COURIER>2010-05-16 05:53:29>16>16>DENIED
16>17>2010-07-01 15:21:18>333.98>27.55>364.53>AIR>2010-07-01 15:21:18>17>17>SHIPPED
17>18>2010-05-20 02:54:37>8699.66>717.72>9422.38>AIR>2010-05-20 02:54:37>18>18>SHIPPED
18>19>2010-06-06 14:04:32>6777.74>559.16>7341.90>MAIL>2010-06-06 14:04:32>19>19>DENIED
19>20>2010-05-21 06:03:05>5247.53>432.92>5685.45>MAIL>2010-05-21 06:03:05>20>20>SHIPPED
20>21>2010-05-15 15:27:10>4260.98>351.53>4613.51>AIR>2010-05-15 15:27:10>21>21>PENDING
21>22>2010-05-20 21:46:37>4694.71>387.31>5083.02>MAIL>2010-05-20 21:46:37>22>22>PROCESSING
22>23>2010-05-16 08:07:01>3329.96>274.72>3605.68>SHIP>2010-05-16 08:07:01>23>23>DENIED
23>24>2010-06-23 13:44:16>6686.34>551.62>7241.96>COURIER>2010-06-23 13:44:16>24>24>SHIPPED
24>25>2010-06-10 06:40:20>9411.41>776.44>10191.85>AIR>2010-06-10 06:40:20>25>25>DENIED
25>26>2010-06-27 20:52:44>4906.90>404.82>5314.72>SHIP>2010-06-27 20:52:44>26>26>SHIPPED
26>27>2010-05-24 19:02:17>7499.29>618.69>8120.98>FEDEX>2010-05-24 19:02:17>27>27>SHIPPED
27>28>2010-06-07 23:10:55>995.87>82.16>1082.03>UPS>2010-06-07 23:10:55>28>28>PROCESSING
28>29>2010-05-14 06:41:05>2156.91>177.95>2338.86>AIR>2010-05-14 06:41:05>29>29>PROCESSING
29>30>2010-05-20 12:22:54>6516.44>537.61>7059.05>SHIP>2010-05-20 12:22:54>30>30>PROCESSING
30>31>2010-06-05 17:54:33>6807.07>561.58>7373.65>COURIER>2010-06-05 17:54:33>31>31>SHIPPED
31>32>2010-06-01 01:18:43>4541.35>374.66>4921.01>AIR>2010-06-01 01:18:43>32>32>SHIPPED
32>34>2010-06-15 08:26:33>3777.05>311.61>4091.66>UPS>2010-06-15 08:26:33>34>34>DENIED
33>35>2010-06-21 15:38:20>9313.21>768.34>10082.55>AIR>2010-06-21 15:38:20>35>35>SHIPPED
34>36>2010-05-12 16:48:54>3577.03>295.10>3877.13>MAIL>2010-05-12 16:48:54>36>36>PROCESSING
35>37>2010-06-23 20:23:08>9724.47>802.27>10527.74>UPS>2010-06-23 20:23:08>37>37>PENDING
36>38>2010-07-02 19:20:10>6715.65>554.04>7272.69>AIR>2010-07-02 19:20:10>38>38>DENIED
37>39>2010-06-24 06:32:58>4580.21>377.87>4963.08>UPS>2010-06-24 06:32:58>39>39>SHIPPED
38>40>2010-06-04 10:40:24>2178.85>179.76>2360.61>AIR>2010-06-04 10:40:24>40>40>PROCESSING
39>41>2010-06-26 21:38:47>4824.54>398.02>5224.56>COURIER>2010-06-26 21:38:47>41>41>PENDING
40>42>2010-06-18 11:12:51>5532.76>456.45>5991.21>AIR>2010-06-18 11:12:51>42>42>SHIPPED
41>43>2010-05-16 04:46:40>31.07>2.56>37.63>SHIP>2010-05-16 04:46:40>43>43>PENDING
42>44>2010-05-17 20:27:17>6829.99>563.47>7398.46>UPS>2010-05-17 20:27:17>44>44>PROCESSING
43>45>2010-05-19 07:46:01>9298.60>767.13>10070.73>SHIP>2010-05-19 07:46:01>45>45>SHIPPED
44>46>2010-06-03 09:47:30>311.30>25.68>340.98>AIR>2010-06-03 09:47:30>46>46>PROCESSING
45>48>2010-05-31 07:29:22>6315.16>521.00>6837.16>SHIP>2010-05-31 07:29:22>48>48>SHIPPED
46>49>2010-05-28 22:32:28>589.36>48.62>642.98>COURIER>2010-05-28 22:32:28>49>49>SHIPPED
47>50>2010-06-13 19:13:01>950.39>78.41>1030.80>MAIL>2010-06-13 19:13:01>50>50>PROCESSING
48>52>2010-06-12 21:58:15>195.36>16.12>213.48>FEDEX>2010-06-12 21:58:15>52>52>PENDING
49>53>2010-05-26 04:18:12>3966.20>327.21>4296.41>UPS>2010-05-26 04:18:12>53>53>PENDING
50>54>2010-05-10 02:37:58>6535.26>539.16>7079.42>SHIP>2010-05-10 02:37:58>54>54>PROCESSING
51>55>2010-05-18 00:06:33>865.41>71.40>939.81>COURIER>2010-05-18 00:06:33>55>55>PROCESSING
52>56>2010-05-14 18:10:14>8970.02>740.03>9715.05>UPS>2010-05-14 18:10:14>56>56>PROCESSING
53>57>2010-06-19 19:56:35>284.91>23.51>311.42>FEDEX>2010-06-19 19:56:35>57>57>PROCESSING
54>59>2010-06-16 18:51:36>2779.73>229.33>3010.06>COURIER>2010-06-16 18:51:36>59>59>SHIPPED
55>60>2010-06-07 07:12:07>8261.72>681.59>8948.31>FEDEX>2010-06-07 07:12:07>60>60>PENDING
56>61>2010-06-25 12:52:13>3789.23>312.61>4102.84>MAIL>2010-06-25 12:52:13>61>61>DENIED
